model,horizon,slope,score
openai_o3,417.7353,0.6000,0.9025
google_gemini_2_5_pro_exp,233.9215,0.6000,0.8580
xai_grok_3_mini_fast_beta_high_reasoning,233.9215,0.6000,0.8500
anthropic_claude_3_7_sonnet_thinking,233.9215,0.6000,0.8480
openai_o3_mini,233.9215,0.6000,0.8650
xai_grok_3_beta,192.8086,0.6000,0.8460
deepseek_deepseek_r1,88.9921,0.6000,0.7400
openai_o1,73.3513,0.6000,0.7150
xai_grok_3_mini_fast_beta_low_reasoning,66.5941,0.6000,0.7060
anthropic_claude_3_7_sonnet_nothinking,54.8899,0.6000,0.6800
deepseek_v3_03_24_2025,20.8821,0.6000,0.5220
google_gemini_2_0_flash_001,5.9448,0.6000,0.2980
deepseek_v3,4.9000,0.6000,0.2750
meta_llama_4_maverick,4.2432,0.6000,0.2540
meta_llama_4_scout,2.7555,0.6000,0.1900
google_gemini_1_5_pro_002,2.7555,0.6000,0.1870
google_gemini_1_5_flash_002,2.3861,0.6000,0.1730
meta_llama_3_3_instruct_turbo_70b,2.0663,0.6000,0.1660
xai_grok_2,2.0663,0.6000,0.1520
openai_gpt_4o_2024_08_06,1.5495,0.6000,0.1400
cohere_command_a,1.5495,0.6000,0.1330
openai_gpt_4o_2024_11_20,1.3418,0.6000,0.1210
anthropic_claude_3_5_sonnet_latest,1.1620,0.6000,0.1000
mistral_large_11_2024,0.8714,0.6000,0.0960
mistral_small_02_2024,,0.6000,
anthropic_claude_3_5_haiku_latest,,0.6000,
mistral_small_3_1_03_2025,,0.6000,
ai21_jamba_1_6_mini,,0.6000,
ai21_jamba_1_6_large,,0.6000,
