,agent,coefficient,intercept,bce_loss,average,p50,p50q0.025,p50q0.975,p80,p80q0.025,p80q0.975,1-4 min,4-16 min,16-64 min,64-256 min,256-960 min,release_date
0,Claude 3 Opus,-0.551748,1.480455,0.319064,0.377459,6.422825,2.743525,12.951308,1.125572,0.394472,2.869029,0.594355,0.496913,0.227102,0.065516,0.006847,2024-03-04
1,Claude 3.5 Sonnet (New),-0.524556,2.547853,0.396384,0.52701,28.983512,13.345031,56.98817,4.640773,1.741812,11.005292,0.984675,0.683975,0.491526,0.209935,0.109551,2024-10-22
2,Claude 3.5 Sonnet (Old),-0.552429,2.31313,0.36829,0.476797,18.21683,9.492954,34.472569,3.19928,1.38948,7.425718,0.833525,0.669465,0.388459,0.120377,0.06847,2024-06-20
3,Claude 3.7 Sonnet,-0.753789,4.342522,0.290499,0.599681,54.226342,27.763038,89.82876,15.156049,5.72091,31.081146,1.0,0.895341,0.675348,0.262348,0.029572,2025-02-24
4,GPT-2,-0.49278,-2.292107,0.1799,0.101641,0.039792,0.001788,0.131955,0.005662,0.000129,0.026421,0.0,0.0,0.0,0.0,0.0,2019-02-14
5,GPT-4 0125,-0.640663,1.55288,0.25533,0.351726,5.366063,2.802412,9.755795,1.197496,0.530747,2.48658,0.605048,0.484919,0.128868,0.015838,0.006847,2024-01-25
6,GPT-4 0314,-0.560241,1.357645,0.303443,0.361067,5.364045,2.453082,9.734091,0.965175,0.341914,2.206123,0.477863,0.504061,0.184479,0.050435,0.0,2023-03-14
7,GPT-4 1106,-0.541915,1.678409,0.34057,0.404329,8.557433,4.16377,16.077141,1.453006,0.566308,3.484947,0.731348,0.605484,0.248634,0.095197,0.006847,2023-11-06
8,GPT-4 Turbo,-0.657572,1.785511,0.258854,0.367357,6.567339,3.215761,12.196509,1.523202,0.691179,3.195561,0.654733,0.53735,0.141537,0.049776,0.0,2024-04-09
9,GPT-4o,-0.568075,1.816133,0.328378,0.407636,9.17045,4.224241,17.963859,1.689572,0.693366,3.648048,0.73569,0.614769,0.237548,0.131602,0.0,2024-05-13
10,davinci-002 (GPT-3),-0.653157,-1.794859,0.158918,0.162822,0.14886,0.070646,0.251337,0.034187,0.013758,0.063476,0.0,0.0,0.0,0.0,0.0,2020-05-28
11,gpt-3.5-turbo-instruct,-0.76923,-0.558577,0.095878,0.215725,0.604514,0.233662,0.987615,0.173339,0.051642,0.284956,0.039164,0.037333,0.0,0.0,0.0,2022-03-15
12,human,-0.385584,2.548212,0.470403,0.645483,97.592792,44.193199,229.400648,8.074619,2.455405,22.129429,0.821208,0.850731,0.652467,0.460536,0.268076,
13,o1,-0.510703,2.703164,0.408309,0.55932,39.206576,17.603775,84.353717,5.973358,1.910084,16.372607,1.0,0.681395,0.582488,0.285403,0.108776,2024-12-05
14,o1-preview,-0.611026,2.733654,0.343418,0.494422,22.221357,11.621572,40.794665,4.610993,2.013768,9.82987,0.81338,0.774656,0.40691,0.18538,0.028366,2024-09-12
